封面,标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924159798.jpg","想吃掉我的非人少女/私を喰べたい、ひとでなし/对我垂涎欲滴的非人少女","4","2026/01/04","","2025/10/02","日本","https://movie.douban.com/subject/37047872/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327887093.jpg","JOJO的奇妙冒险不灭钻石/ジョジョの奇妙な冒険ダイヤモンドは砕けない/JOJO的奇妙冒险第四季/JoJo'sBizarreAdventure:DiamondisUnbreakable","5","2025/12/31","","2016/04/01","日本","https://movie.douban.com/subject/26650051/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2925983114.jpg","阿凡达：火与烬/Avatar:FireandAsh/阿凡达3/阿凡达3：火与烬","3","2025/12/21","","2025/12/17","澳大利亚","https://movie.douban.com/subject/5348089/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2882772634.jpg","阿凡达：水之道/Avatar:TheWayofWater/阿凡达2/阿凡达2：水之道","3","2025/12/19","","2022/12/14","中国香港/中国台湾","https://movie.douban.com/subject/4811774/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926775179.jpg","鬼灭之刃：无限城篇第一章猗窝座再袭/劇場版「鬼滅の刃」無限城編第一章猗窩座再来/鬼灭之刃剧场版无限城篇第一章猗窝座再来/DemonSlayer:KimetsunoYaibaInfinityCastle","4","2025/11/18","","2025/07/18","日本","https://movie.douban.com/subject/36524559/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2913724632.jpg","胆大党/ダンダダン/超自然武装当哒当/当哒当","5","2025/10/08","","2024/10/04","日本","https://movie.douban.com/subject/36171155/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920035883.jpg","胆大党第二季/ダンダダン第2期/当哒当第二季/超自然武装当哒当第二季","5","2025/10/08","","2025/07/03","日本","https://movie.douban.com/subject/37168697/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2924069675.jpg","捕风追影/极盗跟踪/跟踪(中国内地版)","4","2025/09/28","","2025/08/16","中国大陆","https://movie.douban.com/subject/36600459/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2921116938.jpg","启示录酒店/アポカリプスホテル/ApocalypseHotel/天启酒店","5","2025/09/02","","2025/04/09","日本","https://movie.douban.com/subject/37028590/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2254773041.jpg","JOJO的奇妙冒险星尘斗士埃及篇/ジョジョの奇妙な冒険スターダストクルセイダースエジプト編/JOJO的奇妙冒险第三季/JoJo'sBizarreAdventure:StardustCrusaders:BattleinEgypt","4","2025/08/29","","2015/01/09","日本","https://movie.douban.com/subject/25984031/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2154661839.jpg","JOJO的奇妙冒险星尘斗士/ジョジョの奇妙な冒険スターダストクルセイダース/JOJO的奇妙冒险星尘十字军/JOJO的奇妙冒险第二季","4","2025/08/15","","2014/04/04","日本","https://movie.douban.com/subject/23774708/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568288336.jpg","罗小黑战记/罗小黑战记大电影/TheLegendofHei","4","2025/08/05","","2019/08/27","大规模点映","https://movie.douban.com/subject/26709258/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1636473642.jpg","JOJO的奇妙冒险/ジョジョの奇妙な冒険/JoJo'sBizarreAdventure","5","2025/08/01","","2012/10/05","日本","https://movie.douban.com/subject/11498785/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2921570919.jpg","碟中谍8：最终清算/Mission:Impossible-TheFinalReckoning/碟中谍8/不可能的任务：最终清算(台)","3","2025/06/10","","2025/05/14","戛纳国际电影节","https://movie.douban.com/subject/30433456/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2893481084.jpg","碟中谍7：致命清算/Mission:Impossible–DeadReckoningPartOne/碟中谍7：致命清算(上)/职业特工队：死亡清算上集(港)","3","2025/05/25","","2023/06/19","罗马首映","https://movie.douban.com/subject/30433455/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2631090442.jpg","奇巧计程车/オッドタクシー/ODDTAXI","5","2025/04/25","","2021/04/06","日本","https://movie.douban.com/subject/35332568/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2909208908.jpg","败犬女主太多了！/負けヒロインが多すぎる！/败北女角太多了！/Makeine:TooManyLosingHeroines!","5","2025/04/22","","2024/07/14","日本","https://movie.douban.com/subject/36638192/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2917594343.jpg","猫猫的奇幻漂流/Straume/漂流/黑猫的奇幻漂流","3","2025/03/05","","2024/05/22","戛纳电影节","https://movie.douban.com/subject/35603727/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2914342253.jpg","蓦然回首/ルックバック/LookBack-蓦然回首-(港)/LookBack","5","2025/02/12","","2024/06/10","安纳西国际动画电影节","https://movie.douban.com/subject/36765646/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892640218.jpg","少女乐队的呐喊/ガールズバンドクライ/哭泣少女乐队/少女乐队的号哭","5","2025/02/10","","2024/04/05","日本","https://movie.douban.com/subject/35758408/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2915967633.jpg","迷途之子!!!!!/BanGDream!It'sMyGO!!!!!/バンドリ！イッツマイゴ/迷途之子!!!!!","5","2025/02/10","","2023/06/29","日本","https://movie.douban.com/subject/36352095/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2917928409.jpg","擅长逃跑的殿下/逃げ上手の若君/少主溜得快/TheElusiveSamurai","4","2025/02/10","","2024/07/06","日本","https://movie.douban.com/subject/36315208/",
"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2908440764.jpg","死侍与金刚狼/Deadpool&Wolverine/死侍3/死侍与死党","4","2025/02/10","","2024/07/24","中国台湾","https://movie.douban.com/subject/26957900/",
"https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2894248912.jpg","不死少女・杀人笑剧/アンデッドガール・マーダーファルス/UndeadGirl·MurderFarce/不死少女的謀殺鬧劇","4","2025/02/10","","2023/07/05","日本","https://movie.douban.com/subject/36327664/",
"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2809661361.jpg","明日酱的水手服/明日ちゃんのセーラー服/明日同學的水手服/Akebi'sSailorUniform","5","2024/08/19","","2022/01/08","日本","https://movie.douban.com/subject/35417836/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892625898.jpg","迷宫饭/ダンジョン飯/DeliciousinDungeon/DungeonMeshi","5","2024/06/14","","2023/12/08","日本影院","https://movie.douban.com/subject/35801594/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2444453078.jpg","大明王朝1566/大明王朝1566：嘉靖与海瑞/嘉靖与海瑞","5","2024/06/12","","2007/01/08","中国大陆","https://movie.douban.com/subject/2210001/",
"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904318850.jpg","异国迷宫的十字路口/異国迷路のクロワーゼ/IkokuMeironoCroisée/Lacroiséedansunlabyrintheétranger","5","2024/06/06","","","","https://movie.douban.com/subject/5387002/",
